Distancekm,Ageyears,FamilySize,Yearofschooling,FarmingExperienceyears,AnnualIncomefromAgriculture,AnnualIncomefromothersources,OwnCultivableArea,TotalLandAreaDecimal,workingstudyingwithindistrict,Familymembersusingtheinterne,Primary_Agriculture
0.25,49,5,7,35,30000,100000,40,52,1,0,0
0.25,43,4,5,30,10000,40000,145,151,1,0,1
0.25,53,7,9,45,70000,36000,80,89,1,0,1
0.25,46,6,10,25,90000,84000,120,126,1,0,1
0.3,35,7,9,15,20000,60000,33,57,1,0,1
0.3,49,8,8,30,60000,200000,80,89,1,1,0
0.3,55,4,5,40,80000,,100,112,1,1,1
0.4,38,9,10,20,90000,,125,132,1,0,1
0.4,36,7,12,15,75000,40000,100,107,1,0,1
0.4,43,4,7,25,30000,180000,50,55,0,1,0
0.1,54,6,5,40,100000,60000,150,158,1,0,1
0.1,44,5,10,30,20000,300000,50,59,0,0,1
0.2,43,5,8,25,35000,60000,70,80,1,1,1
0.2,48,5,10,30,30000,250000,50,60,1,1,1
0.2,53,5,5,25,80000,120000,115,129,1,1,0
0.2,44,4,8,30,100000,60000,150,162,1,1,1
0.3,45,5,10,25,40000,50000,90,97,1,1,0
0.3,44,6,8,30,50000,70000,90,103,1,1,0
0.3,39,5,10,25,100000,80000,110,124,1,1,1
0.3,55,4,6,35,20000,100000,40,55,1,1,0
0.15,49,4,8,35,50000,40000,65,77,1,1,1
0.15,51,4,5,40,60000,150000,80,90,1,1,1
0.15,50,8,9,35,120000,30000,160,169,1,1,1
0.15,39,4,12,20,80000,60000,99,114,1,1,1
0.2,38,6,10,15,100000,30000,140,151,1,0,1
0.2,50,8,7,30,60000,120000,100,106,1,0,0
0.2,35,9,10,20,40000,80000,66,78,1,1,1
0.2,47,5,9,30,40000,70000,70,81,1,1,1
0.3,44,4,10,20,100000,60000,180,190,1,1,1
0.3,51,8,6,45,100000,40000,160,170,1,0,1
0.1,42,6,7,20,80000,30000,140,145,1,1,1
0.1,39,4,10,25,35000,180000,90,103,1,1,0
0.1,55,4,7,40,40000,90000,50,63,1,1,0
0.25,36,9,12,20,40000,80000,66,89,1,1,0
0.25,51,6,7,45,20000,70000,40,55,1,1,0
0.25,44,4,8,30,50000,100000,120,127,1,1,0
0.25,43,5,10,20,70000,30000,130,158,1,1,1
0.3,44,5,7,30,50000,200000,66,71,1,1,0
0.3,40,4,9,30,60000,40000,100,114,1,1,1
0.3,44,4,5,25,40000,120000,50,58,0,1,0
0.1,55,9,6,40,100000,30000,150,162,1,0,1
0.1,42,5,9,22,60000,50000,80,94,1,0,1
0.1,37,4,10,20,30000,200000,50,55,1,1,0
0.2,39,4,12,25,40000,70000,60,70,1,1,0
0.2,50,5,7,40,70000,90000,100,111,0,1,0
0.2,52,6,5,45,120000,60000,180,198,1,0,1
0.4,47,5,8,30,20000,60000,40,53,0,1,0
0.4,50,6,6,40,80000,50000,150,156,1,1,1
0.4,48,5,7,32,30000,84000,50,61,0,1,0
0.4,51,6,5,35,50000,80000,66,71,1,0,0
